Rk,Team,Date,FG,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,IND,2024-05-12,50,,NYK,W 121-89,240,50,88,.568,36,57,.632,14,31,.452,7,8,.875,121,30,89,.337,23,52,.442,7,37,.189,22,31,.710,89
2,IND,2024-05-17,49,,NYK,W 116-103,240,49,91,.538,40,65,.615,9,26,.346,9,13,.692,116,36,82,.439,23,48,.479,13,34,.382,18,26,.692,103
3,IND,2018-04-27,49,,CLE,W 121-87,240,49,87,.563,34,57,.596,15,30,.500,8,14,.571,121,33,79,.418,21,41,.512,12,38,.316,9,16,.563,87
4,IND,2024-05-02,46,,MIL,W 120-98,240,46,85,.541,33,45,.733,13,40,.325,15,17,.882,120,35,83,.422,28,56,.500,7,27,.259,21,32,.656,98
5,IND,2024-04-28,46,,MIL,W 126-113,240,46,89,.517,24,46,.522,22,43,.512,12,18,.667,126,46,90,.511,34,57,.596,12,33,.364,9,14,.643,113
6,IND,2024-04-26,45,,MIL,W 121-118 (OT),265,45,105,.429,32,56,.571,13,49,.265,18,24,.750,121,41,88,.466,31,57,.544,10,31,.323,26,27,.963,118
7,IND,2012-05-08,43,,ORL,W 105-87,240,43,82,.524,34,65,.523,9,17,.529,10,14,.714,105,32,76,.421,21,46,.457,11,30,.367,12,19,.632,87
8,IND,2024-05-10,42,,NYK,W 111-106,240,42,89,.472,30,57,.526,12,32,.375,15,18,.833,111,38,80,.475,24,53,.453,14,27,.519,16,22,.727,106
9,IND,2017-04-23,41,,CLE,L 102-106,240,41,88,.466,31,58,.534,10,30,.333,10,17,.588,102,37,90,.411,28,59,.475,9,31,.290,23,27,.852,106
10,IND,2013-04-24,41,,ATL,W 113-98,240,41,87,.471,31,62,.500,10,25,.400,21,29,.724,113,39,79,.494,30,56,.536,9,23,.391,11,20,.550,98
11,IND,2018-04-22,40,,CLE,L 100-104,240,40,93,.430,28,60,.467,12,33,.364,8,13,.615,100,35,78,.449,23,44,.523,12,34,.353,22,26,.846,104
12,IND,2016-04-23,40,,TOR,W 100-83,240,40,85,.471,34,69,.493,6,16,.375,14,18,.778,100,27,74,.365,19,44,.432,8,30,.267,21,30,.700,83
13,IND,2017-04-20,38,,CLE,L 114-119,240,38,95,.400,22,54,.407,16,41,.390,22,26,.846,114,39,87,.448,18,43,.419,21,44,.477,20,30,.667,119
14,IND,2014-05-28,37,,MIA,W 93-90,240,37,78,.474,31,57,.544,6,21,.286,13,22,.591,93,34,75,.453,19,44,.432,15,31,.484,7,8,.875,90
15,IND,2013-06-01,37,,MIA,W 91-77,240,37,74,.500,31,63,.492,6,11,.545,11,18,.611,91,26,72,.361,16,54,.296,10,18,.556,15,19,.789,77
16,IND,2020-08-20,36,,MIA,L 100-109,240,36,81,.444,24,47,.511,12,34,.353,16,20,.800,100,36,76,.474,18,41,.439,18,35,.514,19,28,.679,109
17,IND,2020-08-18,36,,MIA,L 101-113,240,36,76,.474,26,52,.500,10,24,.417,19,22,.864,101,40,81,.494,27,46,.587,13,35,.371,20,25,.800,113
18,IND,2019-04-21,36,,BOS,L 106-110,240,36,88,.409,26,60,.433,10,28,.357,24,28,.857,106,36,78,.462,25,50,.500,11,28,.393,27,34,.794,110
19,IND,2014-04-28,36,,ATL,L 97-107,240,36,78,.462,22,48,.458,14,30,.467,11,18,.611,97,33,66,.500,18,39,.462,15,27,.556,26,33,.788,107
20,IND,2014-04-22,36,,ATL,W 101-85,240,36,68,.529,28,51,.549,8,17,.471,21,27,.778,101,31,79,.392,21,50,.420,10,29,.345,13,18,.722,85
21,IND,2016-04-29,35,,TOR,W 101-83,240,35,76,.461,27,54,.500,8,22,.364,23,26,.885,101,29,79,.367,20,50,.400,9,29,.310,16,25,.640,83
22,IND,2014-05-18,35,,MIA,W 107-96,240,35,68,.515,27,49,.551,8,19,.421,29,37,.784,107,40,78,.513,34,55,.618,6,23,.261,10,15,.667,96
23,IND,2013-05-28,35,,MIA,W 99-92,240,35,70,.500,32,56,.571,3,14,.214,26,33,.788,99,30,77,.390,22,54,.407,8,23,.348,24,27,.889,92
24,IND,2013-05-01,35,,ATL,W 106-83,240,35,69,.507,28,50,.560,7,19,.368,29,35,.829,106,25,75,.333,22,61,.361,3,14,.214,30,37,.811,83
25,IND,2013-04-21,35,,ATL,W 107-90,240,35,78,.449,28,59,.475,7,19,.368,30,34,.882,107,38,76,.500,31,59,.525,7,17,.412,7,14,.500,90
26,IND,2019-04-19,34,,BOS,L 96-104,240,34,81,.420,23,51,.451,11,30,.367,17,23,.739,96,38,81,.469,23,47,.489,15,34,.441,13,22,.591,104
27,IND,2018-04-20,34,,CLE,W 92-90,240,34,73,.466,26,47,.553,8,26,.308,16,20,.800,92,34,77,.442,24,45,.533,10,32,.313,12,16,.750,90
28,IND,2014-04-19,34,,ATL,L 93-101,240,34,81,.420,25,60,.417,9,21,.429,16,23,.696,93,33,76,.434,22,46,.478,11,30,.367,24,29,.828,101
29,IND,2013-05-18,34,,NYK,W 106-99,240,34,67,.507,30,52,.577,4,15,.267,34,46,.739,106,34,85,.400,21,55,.382,13,30,.433,18,18,1.000,99
30,IND,2012-05-24,34,,MIA,L 93-105,240,34,70,.486,28,53,.528,6,17,.353,19,24,.792,93,41,76,.539,34,56,.607,7,20,.350,16,20,.800,105
31,IND,2014-05-05,33,,WAS,L 96-102,240,33,81,.407,25,64,.391,8,17,.471,22,27,.815,96,35,84,.417,25,68,.368,10,16,.625,22,31,.710,102
32,IND,2014-05-03,33,,ATL,W 92-80,240,33,70,.471,30,52,.577,3,18,.167,23,29,.793,92,28,92,.304,17,48,.354,11,44,.250,13,16,.813,80
33,IND,2012-05-20,33,,MIA,L 93-101,240,33,79,.418,26,57,.456,7,22,.318,20,24,.833,93,38,80,.475,33,68,.485,5,12,.417,20,28,.714,101
34,IND,2012-05-17,33,,MIA,W 94-75,240,33,76,.434,25,62,.403,8,14,.571,20,23,.870,94,29,78,.372,25,58,.431,4,20,.200,13,18,.722,75
35,IND,2012-04-30,33,,ORL,W 93-78,240,33,77,.429,31,57,.544,2,20,.100,25,28,.893,93,27,76,.355,19,51,.373,8,25,.320,16,19,.842,78
36,IND,2011-04-21,33,,CHI,L 84-88,240,33,87,.379,32,77,.416,1,10,.100,17,18,.944,84,28,72,.389,19,52,.365,9,20,.450,23,27,.852,88
37,IND,2014-05-20,32,,MIA,L 83-87,240,32,80,.400,23,61,.377,9,19,.474,10,15,.667,83,34,67,.507,26,47,.553,8,20,.400,11,18,.611,87
38,IND,2014-05-07,32,,WAS,W 86-82,240,32,72,.444,28,60,.467,4,12,.333,18,21,.857,86,36,80,.450,31,59,.525,5,21,.238,5,12,.417,82
39,IND,2013-05-14,31,,NYK,W 93-82,240,31,76,.408,23,51,.451,8,25,.320,23,30,.767,93,31,87,.356,23,59,.390,8,28,.286,12,14,.857,82
40,IND,2011-04-23,31,,CHI,W 89-84,240,31,79,.392,26,63,.413,5,16,.313,22,34,.647,89,31,82,.378,28,62,.452,3,20,.150,19,24,.792,84
41,IND,2014-05-13,30,,WAS,L 79-102,240,30,77,.390,24,62,.387,6,15,.400,13,22,.591,79,41,82,.500,36,64,.563,5,18,.278,15,19,.789,102
42,IND,2012-04-28,30,,ORL,L 77-81,240,30,87,.345,26,74,.351,4,13,.308,13,22,.591,77,32,81,.395,23,57,.404,9,24,.375,8,11,.727,81
43,IND,2013-05-26,29,,MIA,L 96-114,240,29,73,.397,21,59,.356,8,14,.571,30,44,.682,96,42,77,.545,36,63,.571,6,14,.429,24,28,.857,114
44,IND,2013-05-11,28,,NYK,W 82-71,240,28,80,.350,18,47,.383,10,33,.303,16,23,.696,82,25,71,.352,22,60,.367,3,11,.273,18,25,.720,71
45,IND,2016-04-21,26,,TOR,L 85-101,240,26,68,.382,20,46,.435,6,22,.273,27,33,.818,85,39,94,.415,29,63,.460,10,31,.323,13,16,.813,101